,flight,points,lat,lon,alt,time,speed
0,fl0,0,52.03590909090909,-0.6566666666666667,32.70806121826172,46768,6.8237191115516715
1,fl0,1,52.03590909090909,-0.6566666666666667,82.70806121826172,46775,6.8237191115516715
2,fl0,2,52.03590909090909,-0.6566666666666667,132.70806121826172,46782,6.8237191115516715
3,fl0,3,52.03590909090909,-0.6566666666666667,182.70806121826172,46789,6.8237191115516715
4,fl0,4,52.03590909090909,-0.6566666666666667,232.70806121826172,46796,6.8237191115516715
5,fl0,5,52.03590909090909,-0.6588888888888889,233.80057525634766,46818,6.8237191115516715
6,fl0,6,52.03727272727273,-0.6611111111111111,232.25727081298828,46850,6.8237191115516715
7,fl0,7,52.038636363636364,-0.6633333333333333,232.0712661743164,46882,6.8237191115516715
8,fl0,8,52.04,-0.6655555555555556,232.29602813720703,46914,6.8237191115516715
9,fl0,9,52.041363636363634,-0.6655555555555556,234.30380249023438,46936,6.8237191115516715
10,fl0,10,52.04272727272727,-0.6677777777777778,235.81096649169922,46968,6.8237191115516715
11,fl0,11,52.04409090909091,-0.67,231.75402069091797,47000,6.8237191115516715
12,fl0,12,52.04545454545455,-0.6722222222222223,230.95254516601562,47032,6.8237191115516715
13,fl0,13,52.04545454545455,-0.6744444444444444,232.1865463256836,47054,6.8237191115516715
14,fl0,14,52.04545454545455,-0.6766666666666667,232.2637939453125,47076,6.8237191115516715
15,fl0,15,52.04545454545455,-0.6788888888888889,232.21324157714844,47098,6.8237191115516715
16,fl0,16,52.04681818181818,-0.6811111111111111,234.08087158203125,47130,6.8237191115516715
17,fl0,17,52.04818181818182,-0.6811111111111111,234.7674331665039,47152,6.8237191115516715
18,fl0,18,52.04954545454545,-0.6833333333333333,234.1050567626953,47184,6.8237191115516715
19,fl0,19,52.05090909090909,-0.6855555555555556,237.73077774047852,47216,6.8237191115516715
20,fl0,20,52.05227272727273,-0.6855555555555556,237.62319946289062,47238,6.8237191115516715
21,fl0,21,52.053636363636365,-0.6877777777777778,236.50839233398438,47270,6.8237191115516715
22,fl0,22,52.055,-0.6900000000000001,236.77755737304688,47302,6.8237191115516715
23,fl0,23,52.056363636363635,-0.6900000000000001,234.89965057373047,47324,6.8237191115516715
24,fl0,24,52.05772727272727,-0.6900000000000001,233.51161193847656,47346,6.8237191115516715
25,fl0,25,52.05909090909091,-0.6900000000000001,231.96968841552734,47368,6.8237191115516715
26,fl0,26,52.06045454545455,-0.6900000000000001,228.94151306152344,47390,6.8237191115516715
27,fl0,27,52.06181818181818,-0.6900000000000001,227.76032257080078,47412,6.8237191115516715
28,fl0,28,52.06318181818182,-0.6900000000000001,225.60863494873047,47434,6.8237191115516715
29,fl0,29,52.06454545454545,-0.6900000000000001,223.71990203857422,47456,6.8237191115516715
30,fl0,30,52.06590909090909,-0.6900000000000001,220.90786743164062,47478,6.8237191115516715
31,fl0,31,52.06727272727273,-0.6900000000000001,220.171875,47500,6.8237191115516715
32,fl0,32,52.068636363636365,-0.6900000000000001,221.40839385986328,47522,6.8237191115516715
33,fl0,33,52.07,-0.6900000000000001,226.3410186767578,47544,6.8237191115516715
34,fl0,34,52.071363636363635,-0.6900000000000001,233.01580047607422,47566,6.8237191115516715
35,fl0,35,52.07272727272727,-0.6922222222222223,233.0330581665039,47598,6.8237191115516715
36,fl0,36,52.07409090909091,-0.6922222222222223,226.4492416381836,47620,6.8237191115516715
37,fl0,37,52.07545454545455,-0.6944444444444444,226.26973724365234,47652,6.8237191115516715
38,fl0,38,52.07681818181818,-0.6944444444444444,229.35260009765625,47674,6.8237191115516715
39,fl0,39,52.07818181818182,-0.6966666666666667,234.16958618164062,47706,6.8237191115516715
40,fl0,40,52.07954545454545,-0.6966666666666667,235.5749740600586,47728,6.8237191115516715
41,fl0,41,52.08090909090909,-0.6966666666666667,237.4187774658203,47750,6.8237191115516715
42,fl0,42,52.08227272727273,-0.6988888888888889,235.19715881347656,47782,6.8237191115516715
43,fl0,43,52.083636363636366,-0.6988888888888889,237.88539505004883,47804,6.8237191115516715
44,fl0,44,52.085,-0.7011111111111111,242.1357650756836,47836,6.8237191115516715
45,fl0,45,52.086363636363636,-0.7011111111111111,242.62241744995117,47858,6.8237191115516715
46,fl0,46,52.08772727272727,-0.7011111111111111,242.31711196899414,47880,6.8237191115516715
47,fl0,47,52.08909090909091,-0.7033333333333334,244.06698989868164,47912,6.8237191115516715
48,fl0,48,52.09045454545455,-0.7033333333333334,243.86342239379883,47934,6.8237191115516715
49,fl0,49,52.091818181818184,-0.7055555555555556,244.99858474731445,47966,6.8237191115516715
50,fl0,50,52.09318181818182,-0.7055555555555556,245.13132858276367,47988,6.8237191115516715
51,fl0,51,52.094545454545454,-0.7077777777777778,246.8631477355957,48020,6.8237191115516715
52,fl0,52,52.09590909090909,-0.7077777777777778,245.3608055114746,48042,6.8237191115516715
53,fl0,53,52.09727272727273,-0.7077777777777778,245.20127868652344,48064,6.8237191115516715
54,fl0,54,52.098636363636366,-0.71,245.53544235229492,48096,6.8237191115516715
55,fl0,55,52.1,-0.71,242.41656112670898,48118,6.8237191115516715
56,fl0,56,52.10136363636364,-0.7122222222222222,245.87445449829102,48150,6.8237191115516715
57,fl0,57,52.10272727272727,-0.7122222222222222,244.80071258544922,48172,6.8237191115516715
58,fl0,58,52.104090909090914,-0.7144444444444444,242.88842391967773,48204,6.8237191115516715
59,fl0,59,52.10545454545455,-0.7144444444444444,242.34997940063477,48226,6.8237191115516715
60,fl0,60,52.106818181818184,-0.7144444444444444,240.6322250366211,48248,6.8237191115516715
